date,site,revenue,pageviews,cpm
13-07-2016,wearewearside,0.539353485,389,1.386512816
13-07-2016,projectspurs,3.588071915,2353,1.524892442
13-07-2016,totalbarca,5.130714299,1228,4.178106106
14-07-2016,projectspurs,4.264063791,2762,1.54383193
14-07-2016,totalbarca,2.280724487,539,4.23139979
14-07-2016,hoosierhuddle,0.219856749,187,1.175704541
14-07-2016,wearewearside,0.895626967,638,1.403804024
15-07-2016,hoosierhuddle,0.132319066,173,0.764850093
15-07-2016,wearewearside,0.064655907,71,0.910646581
15-07-2016,totalbarca,2.157702951,785,2.74866618
15-07-2016,projectspurs,2.853129861,2844,1.003210218
16-07-2016,projectspurs,1.683578646,2257,0.745936485
16-07-2016,wearewearside,0.390840742,577,0.67736697
16-07-2016,hoosierhuddle,0.068215408,120,0.568461737
16-07-2016,totalbarca,1.373813595,672,2.044365468
17-07-2016,projectspurs,0.84179767,1180,0.713387856
17-07-2016,wearewearside,0.507750976,784,0.647641551
17-07-2016,hoosierhuddle,0.081240156,150,0.541601041
17-07-2016,totalbarca,1.296635649,663,1.955709878
18-07-2016,therepublikofmancunia,3.052134204,2524,1.20924493
18-07-2016,wearewearside,0.801418652,1274,0.629057026
18-07-2016,totalbarca,1.111093043,586,1.896063214
18-07-2016,projectspurs,0.929023175,1342,0.692267641
18-07-2016,hoosierhuddle,0.132791699,252,0.526951186
19-07-2016,therepublikofmancunia,1.855510902,1819,1.020071964
19-07-2016,projectspurs,0.935195,1602,0.583767166
19-07-2016,hoosierhuddle,0.112030847,252,0.444566853
19-07-2016,totalbarca,1.275226125,797,1.600032779
19-07-2016,wearewearside,1.333429651,2513,0.530612674
19-07-2016,huskermax,1.390320315,3142,0.442495326
20-07-2016,wearewearside,0.343694183,573,0.599815329
20-07-2016,projectspurs,1.371315065,2078,0.659920628
20-07-2016,totalbarca,1.728361397,956,1.807909411
20-07-2016,huskermax,1.69918448,3398,0.500054291
20-07-2016,hoosierhuddle,0.107311709,214,0.501456584
20-07-2016,therepublikofmancunia,6.122701703,5311,1.152834062
21-07-2016,wearewearside,0.699738695,2466,0.28375454
21-07-2016,totalbarca,0.926042146,1082,0.855861502
21-07-2016,projectspurs,0.762223722,2441,0.312258796
21-07-2016,hoosierhuddle,0.075590501,318,0.237705978
21-07-2016,therepublikofmancunia,4.376526198,8022,0.54556547
21-07-2016,huskermax,0.827283039,3496,0.236637025
22-07-2016,therepublikofmancunia,2.888282092,7061,0.409047173
22-07-2016,hoosierhuddle,0.031758645,178,0.178419355
22-07-2016,totalbarca,0.576568553,898,0.642058522
22-07-2016,huskermax,0.680442133,3835,0.1774295
22-07-2016,wearewearside,0.140545165,661,0.21262506
22-07-2016,projectspurs,0.78326294,3346,0.234089343
23-07-2016,wearewearside,0.321518997,392,0.820201522
23-07-2016,totalbarca,1.997479071,807,2.475190919
23-07-2016,therepublikofmancunia,10.17692234,6449,1.578062079
23-07-2016,projectspurs,1.883762879,2086,0.903050278
23-07-2016,hoosierhuddle,0.106947371,156,0.685560074
23-07-2016,huskermax,1.826904783,2669,0.684490364
24-07-2016,hoosierhuddle,0.124818268,192,0.650095145
24-07-2016,totalbarca,1.867153268,798,2.339791063
24-07-2016,therepublikofmancunia,4.24958195,2848,1.492128494
24-07-2016,projectspurs,0.960140522,1124,0.854217546
